match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg,bp_std,bp_max,top_kills_share,bp_range,date_utc,best_of,stage,is_lan
93852,Toronto Ultra,1,3,2,366,350,46504,1.0457142857142858,1.065,0.08346656017032617,1.11,0.273224043715847,0.04500000000000015,2025-01-17 18:00:00+00:00,5,minor,0
93853,Vancouver Surge,1,3,1,332,320,41408,1.0375,1.065,0.08266397845091494,1.16,0.28313253012048195,0.09499999999999997,2025-01-18 15:00:00+00:00,5,minor,0
93853,Vegas Falcons,0,1,3,320,332,41491,0.963855421686747,0.935,0.148884742894182,1.08,0.303125,0.14500000000000002,2025-01-18 15:00:00+00:00,5,minor,0
93854,Cloud9 New York,0,2,3,352,332,44569,1.0602409638554218,1.0425,0.06448514040717715,1.1,0.26704545454545453,0.05750000000000011,2025-01-18 16:30:00+00:00,5,minor,0
93854,Miami Heretics,1,3,2,331,352,41356,0.9403409090909092,0.96,0.10230672835481874,1.1,0.2930513595166163,0.14000000000000012,2025-01-18 16:30:00+00:00,5,minor,0
93855,Boston Breach,1,3,1,387,349,47172,1.1088825214899714,1.135,0.13279056191361394,1.28,0.29198966408268734,0.14500000000000002,2025-01-18 18:00:00+00:00,5,minor,0
93855,Carolina Royal Ravens,0,1,3,349,387,44262,0.9018087855297158,0.865,0.09110433579144298,0.95,0.27793696275071633,0.08499999999999996,2025-01-18 18:00:00+00:00,5,minor,0
93856,LA Guerrillas M8,0,1,3,317,316,38602,1.0031645569620251,0.9825,0.04991659710623983,1.05,0.2586750788643533,0.06750000000000012,2025-01-19 15:00:00+00:00,5,minor,0
93856,Toronto Ultra,1,3,1,316,318,40140,0.9937106918238994,1.015,0.09882644720249063,1.09,0.2848101265822785,0.07499999999999996,2025-01-19 15:00:00+00:00,5,minor,0
93857,Los Angeles Thieves,0,2,3,311,350,40283,0.8885714285714286,0.895,0.051961524227066326,0.94,0.26688102893890675,0.04499999999999993,2025-01-19 16:30:00+00:00,5,minor,0
93857,OpTic Texas,1,3,2,349,311,43130,1.1221864951768488,1.1,0.12463279397226612,1.21,0.2979942693409742,0.10999999999999988,2025-01-19 16:30:00+00:00,5,minor,0
93858,Minnesota RØKKR,0,1,3,265,319,35260,0.8307210031347962,0.7775,0.16680827317612276,0.97,0.30943396226415093,0.1925,2025-01-19 18:00:00+00:00,5,minor,0
93858,Atlanta FaZe,1,3,1,319,265,39223,1.2037735849056603,1.22,0.08286535263104045,1.34,0.2727272727272727,0.1200000000000001,2025-01-19 18:00:00+00:00,5,minor,0
93859,Carolina Royal Ravens,0,2,3,374,353,47323,1.0594900849858355,0.97,0.12516655570345714,1.13,0.30213903743315507,0.15999999999999992,2025-01-24 15:00:00+00:00,5,minor,0
93859,Vancouver Surge,1,3,2,353,374,44242,0.9438502673796793,1.03,0.12727922061357858,1.19,0.29461756373937675,0.15999999999999992,2025-01-24 15:00:00+00:00,5,minor,0
93860,Miami Heretics,0,2,3,312,343,40108,0.9096209912536444,0.855,0.1109053650640942,0.94,0.26282051282051283,0.08499999999999996,2025-01-24 16:30:00+00:00,5,minor,0
93860,Los Angeles Thieves,1,3,2,343,312,43575,1.0993589743589745,1.145,0.1040832999733066,1.23,0.282798833819242,0.08499999999999996,2025-01-24 16:30:00+00:00,5,minor,0
93861,Boston Breach,0,0,3,199,239,25475,0.8326359832635983,0.74,0.04966554808583781,0.79,0.2663316582914573,0.050000000000000044,2025-01-24 18:00:00+00:00,5,minor,0
93861,Atlanta FaZe,1,3,0,239,199,29387,1.201005025125628,1.2625000000000002,0.14974979131871932,1.36,0.27615062761506276,0.09749999999999992,2025-01-24 18:00:00+00:00,5,minor,0
93862,Vancouver Surge,1,3,2,454,460,56892,0.9869565217391304,1.05,0.1430617582258329,1.22,0.3039647577092511,0.16999999999999993,2025-01-25 15:00:00+00:00,5,minor,0
93862,Minnesota RØKKR,0,2,3,460,454,58150,1.013215859030837,0.9525,0.1552149047825843,1.11,0.28043478260869564,0.15750000000000008,2025-01-25 15:00:00+00:00,5,minor,0
93863,Vegas Falcons,0,0,3,209,244,27486,0.8565573770491803,0.7875,0.15542951242712344,0.95,0.2966507177033493,0.16249999999999998,2025-01-25 16:30:00+00:00,5,minor,0
93863,LA Guerrillas M8,1,3,0,243,209,30706,1.1626794258373203,1.21,0.1378404875209022,1.37,0.2880658436213992,0.16000000000000014,2025-01-25 16:30:00+00:00,5,minor,0
93864,Miami Heretics,0,2,3,340,352,44491,0.9659090909090908,1.02,0.08602325267042617,1.13,0.27058823529411763,0.10999999999999988,2025-01-25 18:00:00+00:00,5,minor,0
93864,Carolina Royal Ravens,1,3,2,351,340,45478,1.0323529411764707,0.9825,0.09287087810503364,1.11,0.31054131054131057,0.12750000000000006,2025-01-25 18:00:00+00:00,5,minor,0
93865,Boston Breach,1,3,2,288,333,37160,0.8648648648648649,0.93,0.19612920911140866,1.17,0.3576388888888889,0.24,2025-01-26 15:00:00+00:00,5,minor,0
93865,Los Angeles Thieves,0,2,3,333,288,40628,1.15625,1.0675,0.07410578025138571,1.16,0.2672672672672673,0.09250000000000003,2025-01-26 15:00:00+00:00,5,minor,0
93866,Atlanta FaZe,1,3,2,384,349,47515,1.1002865329512894,1.1475,0.09776672917374976,1.28,0.2838541666666667,0.13250000000000006,2025-01-26 16:30:00+00:00,5,minor,0
93866,Cloud9 New York,0,2,3,349,384,45857,0.9088541666666666,0.85,0.061644140029689744,0.92,0.2836676217765043,0.07000000000000006,2025-01-26 16:30:00+00:00,5,minor,0
93867,Toronto Ultra,0,1,3,332,378,42823,0.8783068783068783,0.855,0.059721576223896414,0.93,0.2891566265060241,0.07500000000000007,2025-01-26 18:00:00+00:00,5,minor,0
93867,OpTic Texas,1,3,1,378,332,45710,1.1385542168674698,1.145,0.10785793124908954,1.27,0.26455026455026454,0.125,2025-01-26 18:00:00+00:00,5,minor,0
93868,Boston Breach,0,0,3,167,222,23711,0.7522522522522522,0.65,0.11690451944500121,0.74,0.31137724550898205,0.08999999999999997,2025-01-30 10:00:00+00:00,5,major,1
93868,Atlanta FaZe,1,3,0,222,167,26857,1.3293413173652695,1.35,0.07999999999999996,1.39,0.2702702702702703,0.040000000000000036,2025-01-30 10:00:00+00:00,5,major,1
93869,Toronto Ultra,1,3,0,251,214,31110,1.1728971962616823,1.19,0.1264911064067352,1.35,0.30278884462151395,0.16000000000000014,2025-01-30 11:30:00+00:00,5,major,1
93869,Vancouver Surge,0,0,3,214,251,28836,0.852589641434263,0.81,0.040824829046386304,0.86,0.2757009345794392,0.04999999999999993,2025-01-30 11:30:00+00:00,5,major,1
93870,Carolina Royal Ravens,0,1,3,230,297,31124,0.7744107744107744,0.6425,0.08341662504161462,0.72,0.28695652173913044,0.07750000000000001,2025-01-30 13:00:00+00:00,5,major,1
93870,Los Angeles Thieves,1,3,1,296,230,35689,1.2869565217391303,1.3549999999999998,0.09255628917943208,1.43,0.2905405405405405,0.07499999999999996,2025-01-30 13:00:00+00:00,5,major,1
93871,OpTic Texas,0,2,3,369,359,47590,1.0278551532033426,1.0275,0.05439056290693574,1.07,0.27100271002710025,0.04249999999999998,2025-01-30 14:30:00+00:00,5,major,1
93871,Miami Heretics,1,3,2,356,369,46265,0.964769647696477,0.9725,0.06396613687465165,1.06,0.2696629213483146,0.08750000000000002,2025-01-30 14:30:00+00:00,5,major,1
