match_id,date_utc,tournament,best_of,stage,is_lan
93923,2025-03-08T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93924,2025-03-08T19:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93925,2025-03-09T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93926,2025-03-09T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93927,2025-03-09T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93928,2025-03-09T19:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93929,2025-03-14T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93930,2025-03-14T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93931,2025-03-14T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93932,2025-03-15T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93933,2025-03-15T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93934,2025-03-15T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93935,2025-03-15T19:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93936,2025-03-16T15:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93937,2025-03-16T16:30:00+00:00,CDL Major 2 Qualifier,5,minor,0
93938,2025-03-16T18:00:00+00:00,CDL Major 2 Qualifier,5,minor,0
93939,2025-03-20T13:30:00+00:00,CDL Major 2 Tournament,5,major,1
93940,2025-03-20T15:00:00+00:00,CDL Major 2 Tournament,5,major,1
93941,2025-03-20T16:30:00+00:00,CDL Major 2 Tournament,5,major,1
93942,2025-03-20T18:00:00+00:00,CDL Major 2 Tournament,5,major,1
93943,2025-03-21T13:30:00+00:00,CDL Major 2 Tournament,5,major,1
93944,2025-03-21T15:00:00+00:00,CDL Major 2 Tournament,5,major,1
93945,2025-03-21T16:30:00+00:00,CDL Major 2 Tournament,5,major,1
93946,2025-03-21T18:00:00+00:00,CDL Major 2 Tournament,5,major,1
93947,2025-03-21T19:30:00+00:00,CDL Major 2 Tournament,5,major,1
93948,2025-03-22T13:30:00+00:00,CDL Major 2 Tournament,5,major,1
93949,2025-03-22T15:00:00+00:00,CDL Major 2 Tournament,5,major,1
93950,2025-03-22T16:30:00+00:00,CDL Major 2 Tournament,5,major,1
93951,2025-03-22T18:00:00+00:00,CDL Major 2 Tournament,5,major,1
93952,2025-03-22T19:30:00+00:00,CDL Major 2 Tournament,5,major,1
93953,2025-03-23T13:30:00+00:00,CDL Major 2 Tournament,5,major,1
93954,2025-03-23T15:00:00+00:00,CDL Major 2 Tournament,5,major,1
93955,2025-03-23T16:30:00+00:00,CDL Major 2 Tournament,5,major,1
93956,2025-03-23T18:00:00+00:00,CDL Major 2 Tournament,7,major finals,1
