match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg
93868,Boston Breach,0,0,3,167,222,23711,0.7522522522522522,0.65
93868,Atlanta FaZe,1,3,0,222,167,26857,1.3293413173652695,1.3499999999999999
93869,Toronto Ultra,1,3,0,251,214,31110,1.1728971962616823,1.19
93869,Vancouver Surge,0,0,3,214,251,28836,0.852589641434263,0.81
93870,Carolina Royal Ravens,0,1,3,230,297,31124,0.7744107744107744,0.6425
93870,Los Angeles Thieves,1,3,1,296,230,35689,1.2869565217391303,1.3549999999999998
93871,OpTic Texas,0,2,3,369,359,47590,1.0278551532033426,1.0275
93871,Miami Heretics,1,3,2,356,369,46265,0.964769647696477,0.9725
93872,Vegas Falcons,0,0,3,232,263,31593,0.8821292775665399,0.8325
93872,Carolina Royal Ravens,1,3,0,263,232,33703,1.1336206896551724,1.165
93873,Minnesota RØKKR,1,3,1,362,322,45936,1.124223602484472,1.195
93873,Vancouver Surge,0,1,3,321,363,42500,0.8842975206611571,0.805
93874,LA Guerrillas M8,0,2,3,341,325,41776,1.0492307692307692,1.0425
93874,OpTic Texas,1,3,2,325,341,41665,0.9530791788856305,0.9550000000000001
93875,Cloud9 New York,1,3,2,370,344,46749,1.0755813953488371,1.0625
93875,Boston Breach,0,2,3,344,370,44490,0.9297297297297298,0.935
93876,Carolina Royal Ravens,1,3,1,327,291,40131,1.1237113402061856,1.1375
93876,OpTic Texas,0,1,3,291,327,37858,0.8899082568807339,0.8624999999999999
93877,Minnesota RØKKR,1,3,1,375,356,45776,1.053370786516854,1.065
93877,Cloud9 New York,0,1,3,356,375,44839,0.9493333333333334,0.9349999999999999
93878,Los Angeles Thieves,1,3,0,261,232,33785,1.125,1.22
93878,Miami Heretics,0,0,3,232,261,31961,0.8888888888888888,0.7799999999999999
93879,Toronto Ultra,0,0,3,235,252,30380,0.9325396825396826,0.8725
93879,Atlanta FaZe,1,3,0,250,235,31674,1.0638297872340425,1.1275
93880,Miami Heretics,1,3,2,369,378,49672,0.9761904761904762,1.04
93880,Minnesota RØKKR,0,2,3,378,369,49047,1.024390243902439,0.9625000000000001
93881,Toronto Ultra,0,2,3,383,363,49619,1.0550964187327823,1.065
93881,Carolina Royal Ravens,1,3,2,363,383,48899,0.9477806788511749,0.935
93882,Miami Heretics,1,3,1,327,319,40969,1.025078369905956,1.03
93882,Carolina Royal Ravens,0,1,3,319,327,41374,0.9755351681957186,0.97
