match_id,player_name,team_name,kills,deaths,damage,bp_rtg
93864,TJHaLy,Carolina Royal Ravens,109,81,12526,1.11
93864,Vivid,Carolina Royal Ravens,96,88,12969,0.98
93865,Cammy,Boston Breach,50,88,8565,0.69
93865,Owakening,Boston Breach,67,77,9754,0.94
93865,Purj,Boston Breach,68,84,8403,0.92
93865,Snoopy,Boston Breach,103,84,10438,1.17
93865,Envoy,Los Angeles Thieves,84,76,9062,1.09
93865,Ghosty,Los Angeles Thieves,78,65,10031,1.03
93865,HyDra,Los Angeles Thieves,82,76,9957,0.99
93865,Scrap,Los Angeles Thieves,89,71,11578,1.16
93866,aBeZy,Atlanta FaZe,94,89,11174,1.16
93866,Cellium,Atlanta FaZe,109,76,12293,1.28
93866,Drazah,Atlanta FaZe,92,85,12710,1.09
93866,Simp,Atlanta FaZe,89,99,11338,1.06
93866,Attach,Cloud9 New York,77,98,10980,0.77
93866,Kremp,Cloud9 New York,99,102,12407,0.85
93866,Mack,Cloud9 New York,97,97,12078,0.92
93866,Sib,Cloud9 New York,76,87,10392,0.86
93867,Beans,Toronto Ultra,78,92,10685,0.87
93867,CleanX,Toronto Ultra,96,94,11576,0.93
93867,Insight,Toronto Ultra,76,95,10606,0.79
93867,JoeDeceives,Toronto Ultra,82,97,9956,0.83
93867,Dashy,OpTic Texas,96,88,12527,1.06
93867,Huke,OpTic Texas,100,73,11621,1.27
93867,Kenny,OpTic Texas,92,91,11719,1.05
93867,Shotzzy,OpTic Texas,90,80,9843,1.2
93868,Cammy,Boston Breach,39,54,6638,0.67
93868,Owakening,Boston Breach,38,49,6232,0.74
93868,Purj,Boston Breach,38,62,5068,0.48
93868,Snoopy,Boston Breach,52,57,5773,0.71
93868,aBeZy,Atlanta FaZe,58,41,6504,1.39
93868,Cellium,Atlanta FaZe,48,36,6660,1.23
93868,Drazah,Atlanta FaZe,56,44,6890,1.39
93868,Simp,Atlanta FaZe,60,46,6803,1.39
93869,Beans,Toronto Ultra,54,48,7437,1.11
93869,CleanX,Toronto Ultra,72,51,8155,1.35
93869,Insight,Toronto Ultra,49,55,6385,1.07
